"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
42,-324166449,3,30,70,0.3,1000.0,0.01,300
44,-324157817,3,30,70,0.5,1000.0,0.01,200
46,-324153866,3,30,100,0.1,1000.0,0.01,100
48,-324144448,3,30,100,0.1,1000.0,0.01,300
50,-324119965,3,30,100,0.3,1000.0,0.01,200
52,-324104273,3,30,100,0.5,1000.0,0.01,100
54,-324096584,3,30,100,0.5,1000.0,0.01,300
56,-324074746,3,50,40,0.1,1000.0,0.01,200
58,-324074662,3,50,40,0.3,1000.0,0.01,100
60,-324074580,3,50,40,0.3,1000.0,0.01,300
62,-324074249,3,50,40,0.5,1000.0,0.01,200
64,-324074098,3,50,70,0.1,1000.0,0.01,100
66,-324073070,3,50,70,0.1,1000.0,0.01,300
68,-324069072,3,50,70,0.3,1000.0,0.01,200
70,-324065687,3,50,70,0.5,1000.0,0.01,100
72,-324064353,3,50,70,0.5,1000.0,0.01,300
74,-324059495,3,50,100,0.1,1000.0,0.01,200
76,-324048538,3,50,100,0.3,1000.0,0.01,100
78,-324043744,3,50,100,0.3,1000.0,0.01,300
80,-324024000,3,50,100,0.5,1000.0,0.01,200
82,-324014102,4,10,40,0.1,1000.0,0.01,100
84,-324013805,4,10,40,0.1,1000.0,0.01,300
86,-324012410,4,10,40,0.3,1000.0,0.01,200
88,-324011362,4,10,40,0.5,1000.0,0.01,100
90,-324010573,4,10,40,0.5,1000.0,0.01,300
92,-324008346,4,10,70,0.1,1000.0,0.01,200
94,-324001748,4,10,70,0.3,1000.0,0.01,100
96,-323995825,4,10,70,0.3,1000.0,0.01,300
98,-323983463,4,10,70,0.5,1000.0,0.01,200
100,-323976277,4,10,100,0.1,1000.0,0.01,100
102,-323958350,4,10,100,0.1,1000.0,0.01,300
104,-323898011,4,10,100,0.3,1000.0,0.01,200
106,-323861529,4,10,100,0.5,1000.0,0.01,100
108,-323833477,4,10,100,0.5,1000.0,0.01,300
110,-323794261,4,30,40,0.1,1000.0,0.01,200
