"FinalTimeTick","StartingDistanceFromFoundTreasure","FinalUtility","InTeam"
326,74.43117626371358,19.072527446338555,"true"
34,13.892443989449804,355.2766136361462,"true"
21,15.652475842498529,404.8639341106294,"true"
224,65.19202405202648,52.63245092417962,"true"
37,23.40939982143925,344.724542934539,"true"
83,12.36931687685298,217.11566339590598,"true"
88,36.6742416417845,206.47483556694422,"true"
250,59.841457201508724,40.938644526354274,"true"
85,57.62811813689564,212.79506169432744,"true"
62,41.23105625617661,270.8425379834269,"true"
126,73.33484846919642,140.9303477702319,"true"
4,2.8284271247461903,960.59601,"false"
111,50.24937810560445,163.861378718902,"true"
86,45.12205669071391,210.66711107738416,"true"
11,11.704699910719626,447.6691271293583,"true"
28,24.20743687382041,381.17135717355194,"true"
128,62.12889826803627,138.12583384960428,"true"
162,23.769728648009426,99.13712829445731,"true"
135,21.540659228538015,128.7423033819745,"true"
213,69.1158447825099,58.78499067121395,"true"
42,25.632011235952593,327.8296102870719,"true"
28,19.79898987322333,754.7192872036328,"false"
68,47.634021455258214,252.44294439353496,"true"
94,65.85590330410783,194.39195903711354,"true"
73,19.0,240.07072828571074,"true"
34,20.808652046684813,355.2766136361462,"true"
25,18.439088914585774,388.91067969957345,"true"
22,14.866068747318506,400.81529476952306,"true"
56,39.59797974644666,284.80060123857965,"true"
212,84.52810183601665,59.378778455771666,"true"
31,15.297058540778355,369.85018669414023,"true"
10,5.0990195135927845,904.3820750088046,"false"
129,60.4648658313239,138.12583384960428,"true"
6,5.0990195135927845,941.4801494010001,"false"
64,5.0,262.7982437627811,"true"
27,18.867962264113206,381.17135717355194,"true"
57,39.824615503479755,284.80060123857965,"true"
29,21.095023109728988,373.5860471657982,"true"
27,17.46424919657298,381.17135717355194,"true"
57,17.69180601295413,281.95259522619386,"true"
57,26.476404589747453,281.95259522619386,"true"
10,7.0710678118654755,904.3820750088046,"false"
64,34.713109915419565,262.7982437627811,"true"
51,33.60059523282288,302.5030335687682,"true"
44,24.020824298928627,321.3058010423591,"true"
654,39.05124837953327,0.7059144574505026,"true"
23,16.1245154965971,396.8071418218278,"true"
653,36.40054944640259,0.7059144574505026,"true"
20,10.04987562112089,408.9534687986155,"true"
153,48.662100242385755,108.52244833640391,"true"
24,10.816653826391969,396.8071418218278,"true"
10,8.0,904.3820750088046,"false"
114,73.06161783043132,158.99453190957186,"true"
33,22.67156809750927,358.86526629913755,"true"
